Código Expediente;Distrito;Barrio;Día de la Semana;Año;Mes;Nombre Mes;Día del Mes;Hora del Día;Turno;Tipo de Accidente
2018S008016;Sant Andreu;Sant Andreu;Lunes;2018;10;Octubre;22;8;Mañana;Col.lisió fronto-lateral
2018S008017;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;Lunes;2018;10;Octubre;22;8;Mañana;Col.lisió lateral
2018S008018;Sant Andreu;la Trinitat Vella;Lunes;2018;10;Octubre;22;6;Mañana;Col.lisió lateral
2018S008019;Nou Barris;la Prosperitat;Domingo;2018;10;Octubre;21;20;Tarde;Col.lisió fronto-lateral
2018S008020;Ciutat Vella;el Barri Gòtic;Lunes;2018;10;Octubre;22;7;Mañana;Col.lisió lateral
2018S008021;Eixample;la Dreta de l'Eixample;Lunes;2018;10;Octubre;22;9;Mañana;Atropellament
2018S008022;Nou Barris;Canyelles;Lunes;2018;10;Octubre;22;9;Mañana;Caiguda interior vehicle
2018S008023;Nou Barris;Canyelles;Lunes;2018;10;Octubre;22;9;Mañana;Abast
2018S008024;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;Lunes;2018;10;Octubre;22;9;Mañana;Abast
2018S008025;Horta-Guinardó;la Vall d'Hebron;Lunes;2018;10;Octubre;22;8;Mañana;Col.lisió fronto-lateral
2018S008026;Horta-Guinardó;la Vall d'Hebron;Lunes;2018;10;Octubre;22;8;Mañana;Altres
2018S008026;Horta-Guinardó;la Vall d'Hebron;Lunes;2018;10;Octubre;22;8;Mañana;Col.lisió lateral
2018S008027;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;Lunes;2018;10;Octubre;22;11;Mañana;Col.lisió fronto-lateral
2018S008028;Eixample;la Dreta de l'Eixample;Lunes;2018;10;Octubre;22;11;Mañana;Abast multiple
2018S008029;Eixample;la Sagrada Família;Lunes;2018;10;Octubre;22;8;Mañana;Col.lisió lateral
2018S008030;Sarrià-Sant Gervasi;el Putxet i el Farró;Lunes;2018;10;Octubre;22;11;Mañana;Atropellament
2018S008031;Nou Barris;Vilapicina i la Torre Llobeta;Lunes;2018;10;Octubre;22;12;Mañana;Abast
2018S008032;Eixample;la Sagrada Família;Lunes;2018;10;Octubre;22;13;Mañana;Col.lisió lateral
2018S008033;Gràcia;la Salut;Lunes;2018;10;Octubre;22;13;Mañana;Abast
2018S008034;Sant Martí;Sant Martí de Provençals;Lunes;2018;10;Octubre;22;14;Tarde;Col.lisió fronto-lateral
2018S008035;Sant Martí;Sant Martí de Provençals;Lunes;2018;10;Octubre;22;13;Mañana;Atropellament
2018S008036;Sant Martí;la Vila Olímpica del Poblenou;Lunes;2018;10;Octubre;22;14;Tarde;Atropellament
2018S008037;Sant Martí;Provençals del Poblenou;Lunes;2018;10;Octubre;22;13;Mañana;Col.lisió fronto-lateral
2018S008038;Sarrià-Sant Gervasi;Sarrià;Lunes;2018;10;Octubre;22;16;Tarde;Abast
2018S008039;Eixample;la Dreta de l'Eixample;Lunes;2018;10;Octubre;22;15;Tarde;Col.lisió lateral
2018S008040;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;Lunes;2018;10;Octubre;22;15;Tarde;Col.lisió lateral
2018S008041;Sant Martí;el Parc i la Llacuna del Poblenou;Lunes;2018;10;Octubre;22;18;Tarde;Atropellament
2018S008042;Les Corts;la Maternitat i Sant Ramon;Lunes;2018;10;Octubre;22;17;Tarde;Caiguda (dues rodes)
2018S008043;Eixample;la Dreta de l'Eixample;Lunes;2018;10;Octubre;22;19;Tarde;Caiguda (dues rodes)
2018S008044;Eixample;la Dreta de l'Eixample;Lunes;2018;10;Octubre;22;11;Mañana;Col.lisió lateral
2018S008045;Eixample;la Dreta de l'Eixample;Lunes;2018;10;Octubre;22;20;Tarde;Atropellament
2018S008046;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;Lunes;2018;10;Octubre;22;21;Tarde;Col.lisió fronto-lateral
2018S008047;Nou Barris;Porta;Lunes;2018;10;Octubre;22;14;Tarde;Col.lisió lateral
2018S008048;Sant Andreu;Navas;Lunes;2018;10;Octubre;22;17;Tarde;Caiguda (dues rodes)
2018S008049;Sant Andreu;la Trinitat Vella;Lunes;2018;10;Octubre;22;21;Tarde;Caiguda (dues rodes)
2018S008050;Gràcia;el Camp d'en Grassot i Gràcia Nova;Lunes;2018;10;Octubre;22;22;Noche;Caiguda (dues rodes)
2018S008051;Sant Andreu;la Sagrera;Martes;2018;10;Octubre;23;8;Mañana;Abast
2018S008051;Sant Andreu;la Sagrera;Martes;2018;10;Octubre;23;8;Mañana;Atropellament
2018S008052;Horta-Guinardó;Horta;Martes;2018;10;Octubre;23;10;Mañana;Abast
2018S008053;Sarrià-Sant Gervasi;les Tres Torres;Martes;2018;10;Octubre;23;8;Mañana;Col.lisió fronto-lateral
2018S008054;Sant Martí;el Clot;Martes;2018;10;Octubre;23;9;Mañana;Abast
2018S008055;Les Corts;la Maternitat i Sant Ramon;Martes;2018;10;Octubre;23;10;Mañana;Col.lisió lateral
2018S008056;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;Martes;2018;10;Octubre;23;10;Mañana;Abast
2018S008057;Nou Barris;Porta;Martes;2018;10;Octubre;23;11;Mañana;Col.lisió fronto-lateral
2018S008058;Sant Martí;Sant Martí de Provençals;Martes;2018;10;Octubre;23;12;Mañana;Col.lisió fronto-lateral
2018S008059;Eixample;la Nova Esquerra de l'Eixample;Martes;2018;10;Octubre;23;11;Mañana;Col.lisió fronto-lateral
2018S008060;Sarrià-Sant Gervasi;les Tres Torres;Lunes;2018;10;Octubre;22;17;Tarde;Col.lisió lateral
2018S008061;Eixample;la Nova Esquerra de l'Eixample;Martes;2018;10;Octubre;23;14;Tarde;Col.lisió lateral
2018S008062;Gràcia;Vallcarca i els Penitents;Martes;2018;10;Octubre;23;13;Mañana;Col.lisió fronto-lateral
2018S008063;Sants-Montjuïc;la Marina del Prat Vermell;Martes;2018;10;Octubre;23;14;Tarde;Abast
2018S008064;Eixample;Sant Antoni;Martes;2018;10;Octubre;23;16;Tarde;Col.lisió lateral
2018S008065;Eixample;la Dreta de l'Eixample;Martes;2018;10;Octubre;23;14;Tarde;Col.lisió fronto-lateral
2018S008066;Gràcia;el Camp d'en Grassot i Gràcia Nova;Martes;2018;10;Octubre;23;13;Mañana;Abast multiple
2018S008067;Horta-Guinardó;la Vall d'Hebron;Martes;2018;10;Octubre;23;16;Tarde;Atropellament
